NONREDUNDANT ALL DATA;all;;;;;;;;;antiparallel;;;;;;;;;parallel;;;;;;;;;trimer;;;;;;;;;tetramer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;register;positive;negative;hydrophobic;other;dm;physico-chemical change DM;pm;physico-chemical change PM;register;positive;negative;hydrophobic;other;dm;physico-chemical change DM;pm;physico-chemical change PM;register;positive;negative;hydrophobic;other;dm;physico-chemical change DM;pm;physico-chemical change PM;register;positive;negative;hydrophobic;other;dm;physico-chemical change DM;pm;physico-chemical change PM;register;positive;negative;hydrophobic;other;dm;physico-chemical change DM;pm;physico-chemical change PM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;non-c;1434;3233;;non-c;250;512;;non-c;326;635;;non-c;583;1552;;non-c;223;423;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;d;242;448;0,001516977;d;50;67;0,011718873;d;47;85;0,530399874;d;98;221;0,062440412;d;34;57;0,494889209;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;non-d;1375;3354;;non-d;235;534;;non-d;316;658;;non-d;555;1611;;non-d;219;442;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;e;273;535;0,008870352;e;50;83;0,17615615;e;57;104;0,5065349;e;111;261;0,103441092;e;42;68;0,326564706;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;non-e;1344;3267;;non-e;235;518;;non-e;306;639;;non-e;542;1571;;non-e;211;431;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;f;185;584;0,000183596;f;27;98;0,008646616;f;45;116;0,182504728;f;82;276;0,133043333;f;27;77;0,094053796;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;non-f;1432;3218;;non-f;258;503;;non-f;318;627;;non-f;571;1556;;non-f;226;422;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;g;283;566;0,01721974;g;45;86;0,632350969;g;77;112;0,01383821;g;100;278;0,982744588;g;46;73;0,247897447;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;non-g;1334;3236;;non-g;240;515;;non-g;286;631;;non-g;553;1554;;non-g;207;426;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ncoils;a;451;670;2,26E-05;a;119;147;0,069868816;a;61;118;0,204006419;a;195;312;0,014777199;a;76;93;0,017592903;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;non-a;2151;4241;;non-a;548;872;;non-a;374;910;;non-a;913;1872;;non-a;316;586;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;b;334;740;0,009455829;b;85;152;0,236580243;b;56;136;0,920634737;b;143;334;0,074082546;b;50;118;0,055242924;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;non-b;2268;4171;;non-b;582;867;;non-b;379;892;;non-b;965;1850;;non-b;342;561;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;c;350;793;0,002196381;c;99;164;0,532656498;c;60;177;0,121749011;c;137;360;0,002157487;c;54;92;0,990841556;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;non-c;2252;4118;;non-c;568;855;;non-c;375;851;;non-c;971;1824;;non-c;338;587;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;d;354;573;0,016738057;d;96;110;0,033192233;d;68;121;0,053894788;d;148;269;0,427916831;d;42;73;0,933296252;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
